n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score
KRAS,3845,RBM14-RBM4,100526737,null,28700943,High Throughput,0.5
KRAS,3845,SUGP1,57794,DLD-1,19490893,GenomeRNAi,0.467
KRAS,3845,MOS,4342,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,NUP160,23279,DLD-1,19490893,GenomeRNAi,0.488
KRAS,3845,SYTL2,54843,null,27655641,RNAi Screen,0.75
KRAS,3845,METRNL,284207,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,NLK,51701,null,27655641,RNAi Screen,0.75
KRAS,3845,MRPL37,51253,null,28700943,High Throughput,0.5
KRAS,3845,SMURF2,64750,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,TAF3,83860,null,28700943,High Throughput,0.5
KRAS,3845,GGA3,23163,null,28700943,High Throughput,0.5
KRAS,3845,HGF,3082,null,28700943,High Throughput,0.5
KRAS,3845,ORC2,4999,null,28700943,High Throughput,0.5
KRAS,3845,USP39,10713,"Human non-small cell lung-cancer, Lung Adenocarcin;DLD-1",19490893,Synlethality;GenomeRNAi,0.815
KRAS,3845,RPGRIP1,57096,null,27655641,RNAi Screen,0.75
KRAS,3845,ZCCHC9,84240,null,28700943,High Throughput,0.5
KRAS,3845,NR1H2,7376,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,OXR1,55074,null,28700943,High Throughput,0.5
KRAS,3845,CEP57,9702,null,28700943,High Throughput,0.5
KRAS,3845,TSSK6,83983,null,27655641,RNAi Screen,0.75
KRAS,3845,PTMA,5757,null,28700943,High Throughput,0.5
KRAS,3845,RGS5,8490,DLD-1,19490893,GenomeRNAi,0.482
KRAS,3845,RLF,6018,null,27655641,RNAi Screen,0.75
KRAS,3845,ZNHIT3,9326,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,LTN1,26046,null,28700943,High Throughput,0.5
KRAS,3845,ZNF32,7580,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,CSNK2B,1460,null,28700943,High Throughput,0.5
KRAS,3845,SNUPN,10073,DLD-1,19490893,GenomeRNAi,0.473
KRAS,3845,RBKS,64080,null,27655641,RNAi Screen,0.75
KRAS,3845,ULK2,9706,null,27655641,RNAi Screen,0.75
KRAS,3845,LARS1,51520,null,28700943,High Throughput,0.5
KRAS,3845,MAT1A,4143,null,28700943,High Throughput,0.5
KRAS,3845,TBC1D3C,414060,null,28700943,High Throughput,0.5
KRAS,3845,SH2D3A,10045,null,27655641,RNAi Screen,0.75
KRAS,3845,LATS1,9113,null,27655641,RNAi Screen,0.75
KRAS,3845,UHMK1,127933,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,NGLY1,55768,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,SPINK2,6691,DLD-1,19490893,GenomeRNAi,0.473
KRAS,3845,UBE2U,148581,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,YES1,7525,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,NOL6,65083,DLD-1,19490893,GenomeRNAi,0.503
KRAS,3845,TEX10,54881,null,28700943,High Throughput,0.5
KRAS,3845,HTRA3,94031,null,28700943,High Throughput,0.5
KRAS,3845,MAPKAP1,79109,null,27655641,RNAi Screen,0.75
KRAS,3845,USP50,373509,null,28700943,High Throughput,0.5
KRAS,3845,LONRF3,79836,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,DHFR,1719,null,28700943,High Throughput,0.5
KRAS,3845,BRAF,673,null,27655641,RNAi Screen,0.75
KRAS,3845,SURF6,6838,null,28700943,High Throughput,0.5
KRAS,3845,RPS18,6222,null,28700943,High Throughput,0.5
KRAS,3845,RBFOX1,54715,null,28700943,High Throughput,0.5
KRAS,3845,TRIM21,6737,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,FBXO5,26271,null,28700943,High Throughput,0.5
KRAS,3845,AXL,558,null,27655641,RNAi Screen,0.75
KRAS,3845,IMP4,92856,null,28700943,High Throughput,0.5
KRAS,3845,NCOR1,9611,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,VDAC1,7416,Human lung cancer,17568748,Synlethality,0.855
KRAS,3845,PYM1,84305,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,ZNF74,7625,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,MARS1,4141,null,28700943,High Throughput,0.5
KRAS,3845,MAPKAPK5,8550,null,27655641,RNAi Screen,0.75
KRAS,3845,MECR,51102,null,28700943,High Throughput,0.5
KRAS,3845,SCARF1,8578,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,NME7,29922,null,27655641,RNAi Screen,0.75
KRAS,3845,RAB29,8934,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,SPC24,147841,DLD-1,19490893,GenomeRNAi,0.491
KRAS,3845,NR1I3,9970,null,27655641,RNAi Screen,0.75
KRAS,3845,NRXN3,9369,null,28700943,High Throughput,0.5
KRAS,3845,MICAL1,64780,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,CAMK2G,818,null,27655641,RNAi Screen,0.75
KRAS,3845,RAD54L2,23132,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,NUAK2,81788,null,27655641,RNAi Screen,0.75
KRAS,3845,DDX27,55661,null,28700943,High Throughput,0.5
KRAS,3845,YME1L1,10730,DLD-1,19490893,GenomeRNAi,0.464
KRAS,3845,TXNRD2,10587,null,28700943,High Throughput,0.5
KRAS,3845,PRDM4,11108,DLD-1,19490893,GenomeRNAi,0.464
KRAS,3845,COPS8,10920,null,27655641,RNAi Screen,0.75
KRAS,3845,MKNK2,2872,null,27655641,RNAi Screen,0.75
KRAS,3845,RRP36,88745,null,28700943,High Throughput,0.5
KRAS,3845,TMEM30B,161291,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,PPP4C,5531,null,28700943,High Throughput,0.5
KRAS,3845,AKT3,10000,null,27655641,RNAi Screen,0.75
KRAS,3845,C4orf46,201725,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,STK25,10494,null,27655641,RNAi Screen,0.75
KRAS,3845,WNT9A,7483,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,ATP6V0C,527,null,28700943,High Throughput,0.5
KRAS,3845,PCID2,55795,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,TBC1D1,23216,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,SPNS2,124976,null,28700943,High Throughput,0.5
KRAS,3845,MARCHF5,54708,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,HIPK3,10114,null,27655641,RNAi Screen,0.75
KRAS,3845,PPFIA1,8500,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,WARS2,10352,null,28700943,High Throughput,0.5
KRAS,3845,EBLN2,55096,null,27655641,RNAi Screen,0.75
KRAS,3845,TANGO6,79613,null,28700943,High Throughput,0.5
KRAS,3845,NOC2L,26155,null,28700943,High Throughput,0.5
KRAS,3845,NAE1,8883,null,27655641,RNAi Screen,0.75
KRAS,3845,BMS1,9790,null,28700943,High Throughput,0.5
KRAS,3845,PRPF8,10594,null,28700943,High Throughput,0.5
KRAS,3845,SMG6,23293,null,28700943,High Throughput,0.5
KRAS,3845,RPS6KA1,6195,null,27655641,RNAi Screen,0.75
KRAS,3845,RAF1,5894,null,27655641,RNAi Screen,0.75
KRAS,3845,RRM2B,50484,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,PPP1R14D,54866,null,27655641,RNAi Screen,0.75
KRAS,3845,CSNK1E,1454,null,27655641,RNAi Screen,0.75
KRAS,3845,NFYB,4801,null,28700943,High Throughput,0.5
KRAS,3845,SRPK3,26576,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,UQCR10,29796,null,27655641,RNAi Screen,0.75
KRAS,3845,TCTE1,202500,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,COQ8B,79934,null,27655641,RNAi Screen,0.75
KRAS,3845,EIF3F,8665,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,MPL,4352,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,NAT1,9,null,28700943,High Throughput,0.5
KRAS,3845,ACACA,31,null,28700943,High Throughput,0.5
KRAS,3845,RACK1,10399,null,27655641,RNAi Screen,0.75
KRAS,3845,CPNE1,8904,null,27655641,RNAi Screen,0.75
KRAS,3845,RPS15,6209,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,USP17L21,100287478,null,28700943,High Throughput,0.5
KRAS,3845,MVD,4597,null,28700943,High Throughput,0.5
KRAS,3845,ZBED3,84327,null,28700943,High Throughput,0.5
KRAS,3845,ADK,132,null,27655641,RNAi Screen,0.75
KRAS,3845,NEU1,4758,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,EFCAB12,90288,null,27655641,RNAi Screen,0.75
KRAS,3845,AFTPH,54812,null,28700943,High Throughput,0.5
KRAS,3845,STK33,65975,null,19490892,RNAi Screen,0.75
KRAS,3845,MAPK1,5594,null,26627737,High Throughput,0.5
KRAS,3845,WWP2,11060,null,27655641,RNAi Screen,0.75
KRAS,3845,MORC2,22880,null,28700943,High Throughput,0.5
KRAS,3845,CYC1,1537,null,28700943,High Throughput,0.5
KRAS,3845,SLC9A7,84679,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,UGT3A1,133688,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,VASH1,22846,null,28700943,High Throughput,0.5
KRAS,3845,RFESD,317671,null,28700943,High Throughput,0.5
KRAS,3845,ACTR2,10097,null,27655641,RNAi Screen,0.75
KRAS,3845,RNF40,9810,null,27655641,RNAi Screen,0.75
KRAS,3845,NVL,4931,DLD-1,19490893,GenomeRNAi,0.47
KRAS,3845,CSNK1A1L,122011,null,27655641,RNAi Screen,0.75
KRAS,3845,SNAI2,6591,null,27655641,RNAi Screen,0.75
KRAS,3845,GRK6,2870,null,27655641,RNAi Screen,0.75
KRAS,3845,SHOC2,8036,null,28162770,High Throughput,0.5
KRAS,3845,PRORP,9692,null,28700943,High Throughput,0.5
KRAS,3845,NEK11,79858,null,27655641,RNAi Screen,0.75
KRAS,3845,HCAR1,27198,null,27655641,RNAi Screen,0.75
KRAS,3845,CDK13,8621,null,27655641,RNAi Screen,0.75
KRAS,3845,PKD2L1,9033,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,RNASEL,6041,null,27655641,RNAi Screen,0.75
KRAS,3845,R3HDM2,22864,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,CDKN2C,1031,null,27655641,RNAi Screen,0.75
KRAS,3845,WNK3,65267,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,UBE2J1,51465,null,28700943,High Throughput,0.5
KRAS,3845,PIK3R2,5296,null,27655641,RNAi Screen,0.75
KRAS,3845,RETNLB,84666,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,NIFK,84365,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,SQSTM1,8878,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,TMEM102,284114,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,RPS25,6230,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,KIT,3815,null,27655641,RNAi Screen,0.75
KRAS,3845,MYL12B,103910,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,SLAMF8,56833,null,28700943,High Throughput,0.5
KRAS,3845,CALM1,801,null,27655641,RNAi Screen,0.75
KRAS,3845,RGP1,9827,null,27655641,RNAi Screen,0.75
KRAS,3845,PFDN1,5201,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,ZNF254,9534,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,ZFX,7543,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,PASK,23178,null,27655641,RNAi Screen,0.75
KRAS,3845,PANK4,55229,null,27655641,RNAi Screen,0.75
KRAS,3845,RPTOR,57521,null,28700943,High Throughput,0.5
KRAS,3845,TRIM52,84851,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,PHF21B,112885,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,SSBP1,6742,null,28700943,High Throughput,0.5
KRAS,3845,ULBP1,80329,null,28700943,High Throughput,0.5
KRAS,3845,COLCA2,120376,null,28700943,High Throughput,0.5
KRAS,3845,NAA10,8260,null,27655641,RNAi Screen,0.75
KRAS,3845,SHE,126669,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,TNNT3,7140,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,NBN,4683,null,28700943,High Throughput,0.5
KRAS,3845,PRKAR2B,5577,null,27655641,RNAi Screen,0.75
KRAS,3845,ATP6V1G1,9550,null,28700943,High Throughput,0.5
KRAS,3845,PITPNM3,83394,null,28700943,High Throughput,0.5
KRAS,3845,PEAK1,79834,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,GRB2,2885,null,26627737,High Throughput,0.5
KRAS,3845,MAP3K8,1326,null,27655641,RNAi Screen,0.75
KRAS,3845,ERCC3,2071,null,28700943,High Throughput,0.5
KRAS,3845,FAM178B,51252,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,NOP2,4839,null,28700943,High Throughput,0.5
KRAS,3845,SOS1,6654,null,26627737,High Throughput,0.5
KRAS,3845,EPHA1,2041,null,27655641,RNAi Screen,0.75
KRAS,3845,GPI,2821,null,28700943,High Throughput,0.5
KRAS,3845,ILK,3611,null,27655641,RNAi Screen,0.75
KRAS,3845,VWDE,221806,null,27655641,RNAi Screen,0.75
KRAS,3845,CYLD,1540,null,27655641,RNAi Screen,0.75
KRAS,3845,RAD23B,5887,DLD-1,19490893,GenomeRNAi,0.476
KRAS,3845,RSKR,124923,null,27655641,RNAi Screen,0.75
KRAS,3845,RET,5979,null,27655641,RNAi Screen,0.75
KRAS,3845,RAB41,347517,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,PDE3A,5139,DLD-1,19490893,GenomeRNAi,0.479
KRAS,3845,MTG2,26164,null,28700943,High Throughput,0.5
KRAS,3845,U2AF1,7307,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,MRPL46,26589,null,28700943,High Throughput,0.5
KRAS,3845,DYSF,8291,null,27655641,RNAi Screen,0.75
KRAS,3845,SLC66A1,54896,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,CLEC11A,6320,null,28700943,High Throughput,0.5
KRAS,3845,NFATC2,4773,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,INMT,11185,null,28700943,High Throughput,0.5
KRAS,3845,OFCC1,266553,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,TEC,7006,null,27655641,RNAi Screen,0.75
KRAS,3845,UBE2L6,9246,null,28700943,High Throughput,0.5
KRAS,3845,TIAM1,7074,null,27655641,RNAi Screen,0.75
KRAS,3845,ZNRF1,84937,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,UNC45A,55898,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,INSRR,3645,null,27655641,RNAi Screen,0.75
KRAS,3845,MOB3C,148932,null,28700943,High Throughput,0.5
KRAS,3845,NOP56,10528,null,27655641,RNAi Screen,0.75
KRAS,3845,TMEM86B,255043,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,USP4,7375,null,28700943,High Throughput,0.5
KRAS,3845,TMEM109,79073,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,CAMK2B,816,null,27655641,RNAi Screen,0.75
KRAS,3845,MDH1,4190,DLD-1,19490893,GenomeRNAi,0.467
KRAS,3845,PPP2R5A,5525,null,27655641,RNAi Screen,0.75
KRAS,3845,DIDO1,11083,null,27655641,RNAi Screen,0.75
KRAS,3845,RPS11,6205,null,28700943,High Throughput,0.5
KRAS,3845,PDZD8,118987,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,NUBP2,10101,null,28700943,High Throughput,0.5
KRAS,3845,MAPK9,5601,null,27655641,RNAi Screen,0.75
KRAS,3845,UBA52,7311,DLD-1,19490893,GenomeRNAi,0.479
KRAS,3845,PFKP,5214,null,28700943,High Throughput,0.5
KRAS,3845,NMBR,4829,null,28700943,High Throughput,0.5
KRAS,3845,PTCH2,8643,null,27655641,RNAi Screen,0.75
KRAS,3845,UBE2D4,51619,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,CENPK,64105,null,28700943,High Throughput,0.5
KRAS,3845,SEPTIN1,1731,DLD-1,19490893,GenomeRNAi,0.467
KRAS,3845,ZPR1,8882,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,COPE,11316,null,28700943,High Throughput,0.5
KRAS,3845,USP38,84640,DLD-1,19490893,GenomeRNAi,0.5
KRAS,3845,PHF20,51230,DLD-1;DLD-1,19490893,GenomeRNAi,0.527
KRAS,3845,RPF1,80135,null,27655641,RNAi Screen,0.75
KRAS,3845,OR14A16,284532,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,USP49,25862,DLD-1,19490893,GenomeRNAi,0.458
KRAS,3845,ARPC2,10109,null,27655641,RNAi Screen,0.75
KRAS,3845,PIM2,11040,null,27655641,RNAi Screen,0.75
KRAS,3845,WDR47,22911,null,28700943,High Throughput,0.5
KRAS,3845,KCNH7,90134,null,27655641,RNAi Screen,0.75
KRAS,3845,TNRC6C,57690,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,SMN1,6606,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,GLYATL3,389396,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,NOG,9241,null,28700943,High Throughput,0.5
KRAS,3845,LARP7,51574,null,28700943,High Throughput,0.5
KRAS,3845,ZCCHC14,23174,null,28700943,High Throughput,0.5
KRAS,3845,UBE2H,7328,null,28700943,High Throughput,0.5
KRAS,3845,TTC3,7267,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,RPL37A,6168,null,28700943,High Throughput,0.5
KRAS,3845,HUWE1,10075,null,27655641,RNAi Screen,0.75
KRAS,3845,UBE2I,7329,null,27655641,RNAi Screen,0.75
KRAS,3845,ZNF608,57507,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,SCAMP3,10067,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,RPS4X,6191,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,POFUT1,23509,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,ZNF2,7549,DLD-1,19490893,GenomeRNAi,0.467
KRAS,3845,SCFD2,152579,DLD-1,19490893,GenomeRNAi,0.464
KRAS,3845,CDC23,8697,null,28700943,High Throughput,0.5
KRAS,3845,DNM1L,10059,null,28700943,High Throughput,0.5
KRAS,3845,CLNS1A,1207,null,28700943,High Throughput,0.5
KRAS,3845,KPNA7,402569,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,CDK5R2,8941,null,27655641,RNAi Screen,0.75
KRAS,3845,ZNF76,7629,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,MRPL39,54148,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,RPS14,6208,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,MCM5,4174,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,THAP10,56906,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,POLR1A,25885,null,28700943,High Throughput,0.5
KRAS,3845,MX1,4599,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,PAPPA2,60676,null,28700943,High Throughput,0.5
KRAS,3845,NDUFS1,4719,null,28700943,High Throughput,0.5
KRAS,3845,RPL32,6161,null,28700943,High Throughput,0.5
KRAS,3845,UFL1,23376,null,28700943,High Throughput,0.5
KRAS,3845,PRTFDC1,56952,DLD-1,19490893,GenomeRNAi,0.455
KRAS,3845,RUVBL1,8607,null,28700943,High Throughput,0.5
KRAS,3845,CSRNP1,64651,null,27655641,RNAi Screen,0.75
KRAS,3845,PLP1,5354,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,PKN3,29941,null,27655641,RNAi Screen,0.75
KRAS,3845,SRMS,6725,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,ZBTB12,221527,null,28700943,High Throughput,0.5
KRAS,3845,CDK2,1017,null,27655641,RNAi Screen,0.75
KRAS,3845,PHB,5245,null,28700943,High Throughput,0.5
KRAS,3845,TNXB,7148,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,SEMA4F,10505,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,ISY1,57461,null,19490893,High Throughput,0.5
KRAS,3845,RASGEF1C,255426,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,CIB3,117286,null,27655641,RNAi Screen,0.75
KRAS,3845,HNRNPC,3183,null,19490893,High Throughput,0.5
KRAS,3845,RASL10A,10633,null,28700943,High Throughput,0.5
KRAS,3845,PKLR,5313,null,27655641,RNAi Screen,0.75
KRAS,3845,PGA5,5222,null,28700943,High Throughput,0.5
KRAS,3845,TRIM46,80128,DLD-1;DLD-1,19490893,GenomeRNAi,0.515
KRAS,3845,EIF5B,9669,null,28700943,High Throughput,0.5
KRAS,3845,GRK4,2868,null,27655641,RNAi Screen,0.75
KRAS,3845,NEDD1,121441,null,28700943,High Throughput,0.5
KRAS,3845,PKD2,5311,null,27655641,RNAi Screen,0.75
KRAS,3845,WDR25,79446,null,28700943,High Throughput,0.5
KRAS,3845,RNF20,56254,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,LENG1,79165,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,NME6,10201,null,27655641,RNAi Screen,0.75
KRAS,3845,GGPS1,9453,null,28700943,High Throughput,0.5
KRAS,3845,ORC5,5001,DLD-1,19490893,GenomeRNAi,0.506
KRAS,3845,PPM1E,22843,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,ERN1,2081,null,27655641,RNAi Screen,0.75
KRAS,3845,SUPT16H,11198,null,28700943,High Throughput,0.5
KRAS,3845,MDH2,4191,DLD-1,19490893,GenomeRNAi,0.452
KRAS,3845,IGF1R,3480,null,27655641,RNAi Screen,0.75
KRAS,3845,VWF,7450,null,28700943,High Throughput,0.5
KRAS,3845,TNIK,23043,DLD-1,19490893,GenomeRNAi,0.476
KRAS,3845,SEC23B,10483,null,28700943,High Throughput,0.5
KRAS,3845,CIT,11113,null,27655641,RNAi Screen,0.75
