X1,X2
NAA15,C20orf112
RPS6KA5,FRMPD2
CTDP1,RAB32
RSPO3,KCNH1
KBTBD8,EDNRB
DNTT,VLDLR
RRP1,CSDA
MSL2,CCNE2
ZNF496,PUM2
PHB,SKA1
TRIM69,CAMTA2
FGFBP1,RABEP2
UTRN,PARVG
MAGEA11,GAR1
PXN,ELL3
AP1S2,ACBD6
PPP1R15A,CRTAC1
PPM1L,TBC1D4
OBFC2B,CWC15
THOC4,ERLIN1
IL1A,EMG1
MYPN,RBPMS2
KPNA5,TSPAN8
PARP9,TMED2
HIPK2,STRN
FOSB,ARHGAP33
KLF8,MCAM
DRD3,HLF
FANCA,TEP1
UBN1,MOCOS
KRT15,FMNL2
SNF8,PRLR
CYFIP1,DIXDC1
RUNDC3A,DOCK7
CDK7,GBP3
FAM160A2,SNX33
MCM6,LIN7B
UBE2A,IGFALS
SSX2IP,ARHGEF16
NEK7,RASSF9
AKAP8,ISG15
USP49,ZSCAN18
C9orf86,ARL8A
PLP1,AP3B2
KRT19,CIDEA
CLNS1A,TUBG1
TEAD4,DPF2
PRKCZ,HOXB1
HDAC10,TMUB1
FHL5,HNRNPL
SLC25A10,PAAF1
DRD3,COPZ1
THAP7,MMP14
RASSF5,CENPA
STK35,GTF3C6
ATF6,ZNF598
SORBS3,DHFR
ICAM1,RPN1
STK4,BOLA1
TRAIP,RBM22
TRIM2,FBP2
HAND1,WASF3
POLR1E,CLIP3
CD2AP,EDC3
FKBP4,ATG16L2
HNRNPU,PDCD1
ERCC5,TIMELESS
SMAD4,KLHL9
MAGEE2,SEC14L1
YAF2,PSME4
FHL1,TBCB
RNF111,STOM
MTMR6,SERPINB1
JAK3,ARMC5
PDCD6,TCEB1
KCTD5,ASCC2
MBD3L2,HIST4H4
DERL2,DNAH11
CTCF,AP2A2
VEGFB,SPRR2A
GATA1,QARS
QARS,SHARPIN
EYA2,GABRA1
ATP5D,EBF2
GPBP1,RHOH
DNAJB1,C15orf55
ASB9,FAM164A
ATP5C1,SPN
NLK,RECQL4
EPHA2,GPR172A
SSBP2,ATP13A2
UBE2U,COMMD8
WHSC1L1,LRCH3
ZNF423,FUNDC1
FBXL18,C11orf66
GFER,UBA5
DHDDS,TMCC2
RNF220,MEA1
ROCK2,DNAJC6
MAGEF1,PUS10
PLSCR1,SNRPA1
TRIM22,AGXT
DDN,ARV1
DNAJC1,PDLIM5
WWP1,FGFR4
BYSL,ETFB
PTPN23,ZCCHC8
UCHL1,POLR2B
RAC1,PHLDB3
PROCA1,NDUFAF4
SERPINB6,MADD
KIAA1377,MGLL
CHFR,SYT17
MAPK4,MRAP
UBP1,TMOD3
GMPS,NDUFA5
GNG13,WDR26
EML1,RAB21
H2AFX,RNF146
C9orf86,BRF1
GABRB3,KCNIP3
LTA,SNTG2
PAX7,ABCC4
NEDD4L,CSN3
BMPR1A,SETMAR
FKBP5,SCRIB
PRKCSH,AMIGO2
DARS2,RABL2B
ATP5A1,LUC7L
PAX8,ASCL3
TRPC4,XIRP1
RORB,TDRD7
SP7,TBC1D9
MYBL2,PRDX6
ELSPBP1,TEKT4
MBD3L2,NFKBIZ
NUP62,CCNB1IP1
FAM175A,ICK
USP33,USP17L2
C17orf70,INSIG2
MXD3,SEC63
DPY30,LAMP2
MORC2,DYNLRB1
PRKD1,CCNI
OTX1,RFC2
PRAME,RIT1
PHF23,ELL2
TRAPPC1,PHLDB1
NSL1,DOCK1
MIER1,SMO
SPP1,FRG1
SPOP,MESDC1
HAP1,ARL8B
NAE1,RIMS1
TTC3,TIGD5
SUPT4H1,STIL
SPRR2A,LAS1L
H2AFZ,USP47
ZBTB16,IPMK
KLF2,RPL5
DCAF11,KRR1
HSPB7,HIST1H2AE
STAT1,SRPK1
TAF1C,REEP4
MEAF6,TDRKH
ABI2,TGFBRAP1
YIPF4,INO80E
MYL2,KLHL6
BRAP,DCAF12L1
IGF1R,TRIM40
DUSP1,NFATC1
KIF5B,PDCD10
ATF1,OCRL
UBE2CBP,GCM2
CLTA,ELF4
POP1,CAMK2A
XRN2,CMIP
CTLA4,PPP2R3A
PKP1,CNTNAP2
CUEDC2,SLC39A1
LMTK2,ZNF746
STXBP1,ANPEP
HIF1A,WSB1
SNF8,KCNB1
CBLL1,CBFB
USP30,RAB39B
TLK1,PRIM2
CSTF3,KDM3B
YWHAE,LY6G6F
TPM3,S1PR1
CACNA1B,EBF2
TMF1,CD274
HIC1,SLC7A14
BBS2,JMJD1C
TMPRSS11A,BRAP
HTATIP2,PRMT2
NEFH,MLF1
ABL1,MARS
RPP21,ADC
ESRP1,SCYL3
CLTA,PPP1R10
LAMB1,EDNRB
FAM125A,MASP1
EXOC2,KIF13B
FBXO11,ATCAY
DDX54,SIRPA
PRMT2,NCDN
BIRC5,HES5
LIG3,PNMA2
S100A9,DSCR6
UBE2G2,ARMCX3
HMGA2,STIL
NEO1,YIF1B
OPTN,ATP5C1
ACOT8,ARMC5
PAX5,HMGA2
PPARGC1B,KIF1B
ACIN1,RNF167
AURKB,TLR2
REV3L,CD81
CSNK2A1,FBXO46
OXR1,SPAG5
MAPRE3,KCNA6
LRP4,MRFAP1
SHANK2,MED21
RDBP,CCDC103
MCM6,SCAMP3
WWC1,TRIM15
SH3BP5L,ZC3H7A
TOPBP1,SCAMP3
ARHGAP9,HNRNPM
CYTIP,CCNO
USP36,TTC23
FATE1,ARMC5
U2AF2,KRT79
TEX11,MAP2K5
PBX4,LMOD3
APPBP2,PLEKHO1
FAM189A2,ATOH1
GNG4,ENC1
NME3,TEX28
RAPGEF1,DMRTB1
SUGT1,MAGEF1
GSTA5,COPS7B
SIN3A,HNRNPA2B1
RUNX2,EME1
NUP62,BCL2L12
FBLIM1,TBC1D9
SPAG4,NPRL3
TNFRSF10A,HTR2A
POLK,IL7R
PDLIM7,GLRX
SCARA3,CCNC
ABCB1,IFRD2
MLX,ATG12
HIRIP3,SPC25
CTNNAL1,ASCC1
AATF,THOC5
MSH5,LENG8
ZNF131,SPRED2
AQP4,ZNF3
NR2F1,CUL7
PSMD4,SAMD3
ARPC1B,ZNRF3
AVPR2,DPYSL4
TBL1XR1,SLC9A5
OSBP,SIX4
PRDM2,IBTK
RFX3,CORO1C
PTX3,IMPA2
COL4A3BP,SUPT16H
DCUN1D5,LY9
TCAP,PTPDC1
ADAR,IKZF2
NACC1,IRF2BP1
BAIAP2L1,COPS6
CD151,NDOR1
RRAD,C15orf55
PLXNA1,GFRA2
PSENEN,GSTA5
TRIO,MTUS2
STAG1,UBR4
NDRG1,IMPA2
SATB1,SF1
CYFIP1,SEPX1
ZFYVE20,DEFA5
RUNDC3A,ITGB3
MBD2,N6AMT2
PRC1,SIRT6
DHDDS,EIF3D
VGLL1,DOCK5
SCAND1,RASSF6
MSL2,HAND2
C12orf41,RAB35
HIF1AN,LY9
CEP68,COMMD5
PIK3R5,RPL5
SKI,PAK7
TBC1D7,GNMT
SIGLEC5,PPP1R13L
MEIS1,CDH11
RNF31,PFKFB2
TNNT3,ALDH1A3
TRAK2,RRAGD
ANXA11,PDE3A
NPHS2,ING2
KIF13A,ZNF382
PCTP,DRD5
SH3BP2,ACACB
GLP1R,TNS4
IRF4,PROM1
JAK3,HSF4
CHERP,TIMM17B
EIF4G1,RSAD2
MID1,DAB2IP
UCHL3,CBFB
KHDRBS1,KPNA3
PAX5,DPP4
ARL6IP1,ZNF474
AHCTF1,ZFPM1
TNIP2,UNC5B
NEU1,ZMAT2
P4HA3,C12orf41
STAM,KLF7
STK38,ANK3
TOP1,ZIC3
PSEN2,KCNE2
KRT72,PPP3R2
H2AFX,PAQR6
TUBB2A,NHP2
ELF1,PGM2
VPS53,STX6
CHFR,GRSF1
SMO,TRPM2
SYN2,AHCTF1
MAPKAPK2,ATG4A
PLEKHA1,MYH6
SPRY1,RSL1D1
SCAND1,SIRPA
VASP,CCDC85A
SASH1,SSR4
PDZK1,PRCC
RHEB,DNAJC2
CLEC2D,ZNF18
RNF186,ZC3H10
TFIP11,CLN3
EIF2AK1,USH1G
TGFBRAP1,CROCC
DNAJC14,CCDC65
TFIP11,GPBP1
ARHGEF16,RTDR1
TMEM173,FARSA
PEX1,C6orf211
CTDSP1,PLEKHG4B
S100A1,SLC1A1
FBXO24,GC
TBRG1,DUSP16
EAF2,USP46
ATG5,IL8
CABP5,HSPB6
ERCC1,SYNE1
CABIN1,CCT4
SNX7,MICALL1
KRT14,LHX3
ARRB2,IER3
NUP98,ELK3
YPEL5,HACL1
PAK3,OXR1
CLEC4C,HLTF
IKBKB,CARD9
MAP3K5,UCP3
PAK7,USP32
MAFK,C10orf46
NUF2,STAP1
FGF7,PAFAH1B1
NME3,PPP2R4
SNCAIP,KPNA5
TADA3,CALML6
UNC13B,PAK7
ATF6,BAI1
SCP2,ZFC3H1
PCBP3,GPBP1
RPN1,PRKCG
KCNA5,PLEKHA4
VPS33B,ANKRD28
EXOC8,PTP4A1
HSPB1,SNX27
CD44,ARL8A
FAM107A,FAM9B
ATF3,UCP3
CBX8,PHACTR4
DDB2,DCTD
COL25A1,NRP2
NTHL1,KIF1C
SPN,CKM
HNF1A,SPTB
CD38,ZSCAN16
ARMC7,PDLIM4
SIGLEC5,POR
CD2AP,ACVR2A
HDAC10,NNAT
BDP1,STC1
PRKCB,PHLDB2
DNA2,CDC42SE2
ACMSD,ATP6AP1
NCAPH,NUPL1
UBE2R2,CCT6A
NR2C2AP,VENTX
ATHL1,ADCY3
GRSF1,LCORL
LCP2,PRPF40B
IL1RN,FDPS
NME6,BCAR3
HERC2,KIF20A
NCKAP1,RPL23A
HSH2D,CCNB1
ADORA2A,FRG1
CDK10,CANX
CYP4A11,DIRAS2
DOK1,C12orf44
UNC13B,CENPK
TBC1D7,BRMS1
EIF6,LIN28B
RHOA,ZNF365
NGFRAP1,RELL2
LRCH1,CYB5B
STAP2,PTPN6
COPG,HECTD1
GINS3,RPGRIP1L
EP400,FAIM2
DNM2,SKP2
C3orf19,FAAH
CAPZB,CPNE3
PACSIN2,UBE2C
SMN1,BRP44
VAV2,STXBP3
MMP9,CD99L2
APPL1,KCNK3
TMEM97,CDCA7L
STX19,SNAPC5
CDK8,INSC
DCAF11,HSPB7
MICAL1,MRTO4
GLI1,C20orf112
ANGPT2,GKAP1
KCNJ3,BHLHE41
GATSL3,KLKB1
JAK2,IMPDH1
POLH,RAB40B
TWIST1,FAM110A
TRIM9,STK38L
SERPINF2,ZNF426
KLHL5,NEIL2
BARD1,FEM1B
PTPRM,CWF19L2
F3,CHP
ABCB7,PLP1
EWSR1,SENP2
ZBTB8A,BRPF3
RAB14,AATK
YWHAG,RGS12
JAK1,ALG3
GFI1,TPP1
LSM2,PCBP4
BAG3,OSBPL2
FLT4,GJB1
UBE2D2,MAP1LC3B
DLC1,CCDC91
OSGEP,CDAN1
ID2,RAB7A
LGALS1,KHSRP
SNRPB,PTPRJ
LCORL,TMEM174
TAF7L,C3orf19
HOMER3,SGSM2
WWC1,SIGLEC9
ATP7B,CERKL
TXNIP,SYT11
AGTRAP,TTC23
CBX3,TNFAIP8L1
STH,SPIN1
STAG1,ERH
DYRK2,BLID
HERC2,TCP11L2
ARAF,RPH3AL
LMNB1,AATK
RAD9A,PTHLH
SSNA1,SSTR2
MARVELD2,AKIRIN2
STAM,SLC25A10
DHFR,RNF168
RECQL4,CYBRD1
DNM2,RFWD3
ATP5A1,DTX3
SEPHS1,SIN3B
RAD52,ZDHHC16
S1PR1,WRNIP1
PLIN1,INHBA
SNAPC3,FUBP3
ALG2,CRTAC1
PHC2,TNNT2
IGBP1,PBK
PRKCI,TMEM199
LGR5,LBP
GPS2,ELOVL1
ZBTB2,KRT1
ARFGAP3,WDR59
APPL2,SSU72
ANGPT1,CAMP
MDM2,POP4
RAB12,RCOR3
FKBP5,RARB
PSMC6,PTPN7
DBF4,VCP
SVIL,ERMP1
ZFP64,HIBADH
RAX,NECAB1
TRIB3,OBSL1
EBNA1BP2,GRIN2C
CDKN1C,RYBP
GRIK5,BAI1
PYGM,TRIM10
HAUS1,BBC3
AQP2,PGM2
